Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
5; France; Bordeaux BOD; 07:25; Nantes NTE
15/05/19; Ryanair; 1; 9.99; 00 Bo; France; deaux BOD; 23:50; Bordeaux BOD FR5831
20/05/19; Ryanair; 0; 9.99; 22:10; France; Cologne CGNCologne-Bonn CGN; 20:45; Cologne CGNCologne-Bonn CGN FR6480
07/05/19; Ryanair; 0; 9.99; 15:40; France; Milan BGYMilan (Bergamo) BGY; 17:20; Bordeaux BOD
15/05/19; Ryanair; 1; 9.99; 06:50; Bordeaux BOD; 08:30; Milan BGYMilan (Bergamo) BGY
15/05/19; Ryanair; 1; 9.99; 40 Mi; France; an BGYMilan (Bergamo) BGY; 08:30; Milan BGYMilan (Bergamo) BGY FR5832
10/05/19; Ryanair; 1; 9.99; 21:10; France; Cologne CGNCologne-Bonn CGN; 08:10; Cologne CGNCologne-Bonn CGN FR5551
17/05/19; Ryanair; 0; 9.99; 09:20; France; Bordeaux BOD; 11:50; Bari BRI
14/05/19; Ryanair; 0; 14.99; 12:15; France; Bari BRI; 14:45; Bordeaux BOD
21/05/19; Ryanair; 0; 14.99; 12:45; France; Paris BVAParis (Beauvais) BVA; 14:20; Bologna BLQ
11/05/19; Ryanair; 0; 14.99; 10:30; France; Bologna BLQ; 12:20; Paris BVAParis (Beauvais) BVA
18/05/19; Ryanair; 0; 14.99; 13:35; France; Beziers BZR; 15:20; Dusseldorf NRNDusseldorf (Weeze) NRN
12/06/19; Ryanair; 0; 14.99; 11:15; France; Dusseldorf NRNDusseldorf (Weeze) NRN; 13:10; Beziers BZR
19/06/19; Ryanair; 0; 14.99; 20:35; France; Marseille MRS; 22:00; Valencia VLC
15/05/19; Ryanair; 0; 14.99; 18:45; France; Valencia VLC; 20:10; Marseille MRS
22/05/19; Ryanair; 0; 14.99; 12:45; France; Paris BVAParis (Beauvais) BVA; 14:55; Cagliari CAG
20/05/19; Ryanair; 0; 14.99; 09:55; France; Cagliari CAG; 12:20; Paris BVAParis (Beauvais) BVA
24/05/19; Ryanair; 0; 14.99; 08:15; France; Bordeaux BOD; 10:30; Naples NAP
21/05/19; Ryanair; 0; 14.99; 10:55; France; Naples NAP; 13:10; Bordeaux BOD
29/05/19; Ryanair; 0; 14.99; 22:00; France; Paris BVAParis (Beauvais) BVA; 23:10; Porto OPO
30/04/19; Ryanair; 0; 14.99; 06:00; France; Porto OPO; 09:10; Paris BVAParis (Beauvais) BVA
07/05/19; Ryanair; 0; 14.99; 15:50; France; Lourdes LDELourdes-Tarbes LDE; 16:40; Lisbon LIS
11/05/19; Ryanair; 0; 14.99; 12:35; France; Lisbon LIS; 15:25; Lourdes LDELourdes-Tarbes LDE
18/05/19; Ryanair; 0; 14.99; 13:00; France; Paris BVAParis (Beauvais) BVA; 14:45; Pisa PSA
18/05/19; Ryanair; 0; 14.99; 06:20; France; Pisa PSA; 08:15; Paris BVAParis (Beauvais) BVA
25/05/19; Ryanair; 0; 14.99; 14:00; France; Marseille MRS; 15:35; Alicante ALC
19/06/19; Ryanair; 0; 14.99; 16:10; France; Alicante ALC; 17:45; Marseille MRS
26/06/19; Ryanair; 0; 14.99; 15:00; France; Bordeaux BOD; 16:50; Malaga AGP
20/06/19; Ryanair; 0; 14.99; 12:45; France; Malaga AGP; 14:35; Bordeaux BOD
25/06/19; Ryanair; 0; 14.99; 14:45; France; Marseille MRS; 16:35; Madrid MAD
22/05/19; Ryanair; 0; 14.99; 06:40; France; Madrid MAD; 08:30; Marseille MRS
29/05/19; Ryanair; 0; 14.99; 14:30; France; Paris BVAParis (Beauvais) BVA; 16:30; Valencia VLC
