Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Kraj_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
15/05/19; Ryanair; 0; 9.99; 11:20; Germany; Berlin SXFBerlin (Schonefeld) SXF; 13:35; Toulouse TLS
20/05/19; Ryanair; 0; 12.99; 20:05; Germany; Toulouse TLS; 22:20; Berlin SXFBerlin (Schonefeld) SXF
06/05/19; Ryanair; 0; 8.99; 08:10; Germany; Frankfurt FRA; 10:30; Palma Mall PMI
14/05/19; Ryanair; 0; 14.99; 09:45; Germany; Palma Mall PMI; 12:10; Frankfurt FRA
21/05/19; Ryanair; 0; 8.99; 18:00; Germany; Frankfurt FRA; 19:40; Pisa PSA
25/05/19; Ryanair; 0; 14.99; 16:20; Germany; Pisa PSA; 17:50; Frankfurt FRA
09/06/19; Wizz Air; 0; 14.99; 16:15; Germany; Dortmund DTM; 17:35; Wroclaw WRO
16/06/19; Wizz Air; 0; 9.11; 07:10; Germany; Wroclaw WRO; 08:40; Dortmund DTM
10/05/19; Ryanair; 0; 8.99; 11:45; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 12:55; Fez FEZ
17/05/19; Ryanair; 0; 15.35; 06:00; Germany; Fez FEZ; 11:20; Frankfurt HHNFrankfurt (Hahn) HHN
16/05/19; Laudamotion; 0; 14.99; 12:10; Germany; Duesseldor DUS; 14:05; Stockholm NYOStockholm (Skavsta) NYO
23/05/19; Laudamotion; 0; 9.84; 14:40; Germany; Stockholm NYOStockholm (Skavsta) NYO; 16:35; Duesseldor DUS
18/06/19; Wizz Air; 0; 14.99; 16:20; Germany; Friedrichs FDH; 17:55; Tuzla TZL
25/06/19; Wizz Air; 0; 10.22; 14:05; Germany; Tuzla TZL; 15:50; Friedrichs FDH
16/05/19; Ryanair; 0; 12.99; 07:00; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 08:05; Nador NDR
23/05/19; Ryanair; 0; 12.85; 08:30; Germany; Nador NDR; 13:35; Dusseldorf NRNDusseldorf (Weeze) NRN
20/05/19; Ryanair; 0; 12.99; 15:50; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 17:10; Rabat RBA
24/05/19; Ryanair; 0; 12.85; 16:25; Germany; Rabat RBA; 21:45; Dusseldorf NRNDusseldorf (Weeze) NRN
05/10/19; Laudamotion; 0; 12.99; 06:30; Germany; Duesseldor DUS; 08:00; Copenhagen CPH
09/10/19; Laudamotion; 0; 12.86; 14:50; Germany; Copenhagen CPH; 16:20; Duesseldor DUS
16/05/19; Ryanair; 0; 12.99; 14:00; Germany; Cologne CGNCologne-Bonn CGN; 15:25; Copenhagen CPH
22/05/19; Ryanair; 0; 12.86; 15:50; Germany; Copenhagen CPH; 17:20; Cologne CGNCologne-Bonn CGN
15/05/19; Ryanair; 0; 12.99; 11:45; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 13:55; Faro FAO
22/05/19; Ryanair; 0; 12.99; 07:15; Germany; Faro FAO; 11:20; Dusseldorf NRNDusseldorf (Weeze) NRN
16/05/19; Ryanair; 0; 12.99; 06:20; Germany; Berlin SXFBerlin (Schonefeld) SXF; 07:50; Brussels BRU
23/05/19; Ryanair; 0; 12.99; 08:15; Germany; Brussels BRU; 09:40; Berlin SXFBerlin (Schonefeld) SXF
08/05/19; Ryanair; 0; 12.99; 11:45; Germany; Berlin SXFBerlin (Schonefeld) SXF; 13:55; Bari BRI
15/05/19; Ryanair; 0; 12.99; 14:20; Germany; Bari BRI; 16:35; Berlin SXFBerlin (Schonefeld) SXF
08/05/19; Ryanair; 0; 12.99; 10:50; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 13:30; Alicante ALC
15/05/19; Ryanair; 0; 12.99; 07:45; Germany; Alicante ALC; 10:25; Dusseldorf NRNDusseldorf (Weeze) NRN
14/05/19; Ryanair; 0; 12.99; 17:50; Germany; Karlsruhe FKBKarlsruhe-Baden Baden FKB; 19:50; Palma Mall PMI
22/05/19; Ryanair; 0; 12.99; 20:50; Germany; Palma Mall PMI; 22:55; Karlsruhe FKBKarlsruhe-Baden Baden FKB
16/05/19; Ryanair; 0; 12.99; 08:20; Germany; Frankfurt FRA; 10:30; Brindisi BDS
23/05/19; Ryanair; 0; 12.99; 10:55; Germany; Brindisi BDS; 13:05; Frankfurt FRA
22/05/19; Ryanair; 0; 12.99; 20:50; Germany; Karlsruhe FKBKarlsruhe-Baden Baden FKB; 22:45; Cagliari CAG
29/05/19; Ryanair; 0; 12.99; 18:30; Germany; Cagliari CAG; 20:25; Karlsruhe FKBKarlsruhe-Baden Baden FKB
15/05/19; Ryanair; 0; 12.99; 20:25; Germany; Memmingen FMM; 22:20; Brindisi BDS
22/05/19; Ryanair; 0; 12.99; 18:05; Germany; Brindisi BDS; 20:00; Memmingen FMM
14/05/19; Ryanair; 0; 12.99; 06:00; Germany; Berlin TXLBerlin (Tegel) TXL; 08:20; Alghero AHO
21/05/19; Ryanair; 0; 12.99; 08:55; Germany; Alghero AHO; 11:15; Berlin TXLBerlin (Tegel) TXL
21/05/19; Ryanair; 0; 12.99; 07:05; Germany; Berlin SXFBerlin (Schonefeld) SXF; 08:50; Milan BGYMilan (Bergamo) BGY
29/05/19; Ryanair; 0; 12.99; 09:15; Germany; Milan BGYMilan (Bergamo) BGY; 10:55; Berlin SXFBerlin (Schonefeld) SXF
22/05/19; Ryanair; 0; 12.99; 13:50; Germany; Frankfurt HHNFrankfurt (Hahn) HHN; 15:40; Rome CIARome (Ciampino) CIA
29/05/19; Ryanair; 0; 12.99; 11:30; Germany; Rome CIARome (Ciampino) CIA; 13:25; Frankfurt HHNFrankfurt (Hahn) HHN
15/05/19; Ryanair; 0; 12.99; 13:50; Germany; Bremen BRE; 16:10; Barcelona GROBarcelona (Girona) GRO
21/05/19; Ryanair; 0; 12.99; 11:05; Germany; Barcelona GROBarcelona (Girona) GRO; 13:25; Bremen BRE
